PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
70,https://twocomms.shop/catalog/,Каталог одягу — TwoComms,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/
https://twocomms.shop/catalog/
https://twocomms.shop/en/catalog/
https://twocomms.shop/ru/catalog/","200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,8581538426780652564,1166,4930
69,https://twocomms.shop/catalog/tshirts/,Футболки TwoComms — стрітвеар та мілітарі-принти від українського бренду,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/tshirts/
https://twocomms.shop/catalog/tshirts/
https://twocomms.shop/en/catalog/tshirts/
https://twocomms.shop/ru/catalog/tshirts/","200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,6263997962427800024,1014,4793
64,https://twocomms.shop/catalog/long-sleeve/,Лонгсліви TwoComms — лаконічний стрітвеар з рукавами на кожен день,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/long-sleeve/
https://twocomms.shop/catalog/long-sleeve/
https://twocomms.shop/en/catalog/long-sleeve/
https://twocomms.shop/ru/catalog/long-sleeve/","200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,13191102764068290235,154,3503
34,https://twocomms.shop/catalog/hoodie/,Худі TwoComms — теплі толстовки зі стрітвеар-принтами та свободною посадкою,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/hoodie/
https://twocomms.shop/catalog/hoodie/
https://twocomms.shop/en/catalog/hoodie/
https://twocomms.shop/ru/catalog/hoodie/","200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,9758318844850680279,154,3503
30,https://twocomms.shop/ru/catalog/,Каталог одягу — TwoComms,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/en/catalog/
https://twocomms.shop/ru/catalog/
https://twocomms.shop/ru/catalog/
https://twocomms.shop/ru/catalog/","200
200
200
200","One page is linked for more than one language
Some pages don't include hreflang links to all the other pages of the group",9038952039927563566,716,2614
29,https://twocomms.shop/en/catalog/,Каталог одягу — TwoComms,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/en/catalog/
https://twocomms.shop/en/catalog/
https://twocomms.shop/en/catalog/
https://twocomms.shop/ru/catalog/","200
200
200
200","One page is linked for more than one language
Some pages don't include hreflang links to all the other pages of the group",9038952039927563566,568,2311
27,https://twocomms.shop/ru/catalog/tshirts/,Футболки TwoComms — стрітвеар та мілітарі-принти від українського бренду,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/tshirts/
https://twocomms.shop/catalog/tshirts/
https://twocomms.shop/en/catalog/tshirts/
https://twocomms.shop/ru/catalog/tshirts/
https://twocomms.shop/ru/catalog/tshirts/
https://twocomms.shop/ru/catalog/tshirts/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",6263997962427800024,508,1637
26,https://twocomms.shop/en/catalog/tshirts/,Футболки TwoComms — стрітвеар та мілітарі-принти від українського бренду,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/tshirts/
https://twocomms.shop/catalog/tshirts/
https://twocomms.shop/en/catalog/tshirts/
https://twocomms.shop/en/catalog/tshirts/
https://twocomms.shop/en/catalog/tshirts/
https://twocomms.shop/ru/catalog/tshirts/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",6263997962427800024,468,1486
24,https://twocomms.shop/en/catalog/hoodie/,Худі TwoComms — теплі толстовки зі стрітвеар-принтами та свободною посадкою,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/hoodie/
https://twocomms.shop/catalog/hoodie/
https://twocomms.shop/en/catalog/hoodie/
https://twocomms.shop/en/catalog/hoodie/
https://twocomms.shop/en/catalog/hoodie/
https://twocomms.shop/ru/catalog/hoodie/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",9758318844850680279,152,961
24,https://twocomms.shop/en/catalog/long-sleeve/,Лонгсліви TwoComms — лаконічний стрітвеар з рукавами на кожен день,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/long-sleeve/
https://twocomms.shop/catalog/long-sleeve/
https://twocomms.shop/en/catalog/long-sleeve/
https://twocomms.shop/en/catalog/long-sleeve/
https://twocomms.shop/en/catalog/long-sleeve/
https://twocomms.shop/ru/catalog/long-sleeve/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",13191102764068290235,152,949
24,https://twocomms.shop/ru/catalog/long-sleeve/,Лонгсліви TwoComms — лаконічний стрітвеар з рукавами на кожен день,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/long-sleeve/
https://twocomms.shop/catalog/long-sleeve/
https://twocomms.shop/en/catalog/long-sleeve/
https://twocomms.shop/ru/catalog/long-sleeve/
https://twocomms.shop/ru/catalog/long-sleeve/
https://twocomms.shop/ru/catalog/long-sleeve/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",13191102764068290235,152,1040
24,https://twocomms.shop/ru/catalog/hoodie/,Худі TwoComms — теплі толстовки зі стрітвеар-принтами та свободною посадкою,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/hoodie/
https://twocomms.shop/catalog/hoodie/
https://twocomms.shop/en/catalog/hoodie/
https://twocomms.shop/ru/catalog/hoodie/
https://twocomms.shop/ru/catalog/hoodie/
https://twocomms.shop/ru/catalog/hoodie/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",9758318844850680279,152,1052
23,https://twocomms.shop/product/ts-twocomms-reality-bends-mentol/menthol/,"Купити Футболка TWOCOMMS ""Reality Bends"": Ментол — ментол — TwoComms",text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/en/product/ts-twocomms-reality-bends-mentol/menthol/
https://twocomms.shop/product/ts-twocomms-reality-bends-mentol/menthol/
https://twocomms.shop/product/ts-twocomms-reality-bends-mentol/menthol/
https://twocomms.shop/product/ts-twocomms-reality-bends-mentol/menthol/
https://twocomms.shop/product/ts-twocomms-reality-bends-mentol/menthol/
https://twocomms.shop/ru/product/ts-twocomms-reality-bends-mentol/menthol/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",562935228900038162,4,690
23,https://twocomms.shop/product/-twocomms-reality-bends-dark-neon-edition/black/,"Купити Футболка TWOCOMMS ""Reality Bends"": Dark Neon Edition — чорний — TwoComms",text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/en/product/-twocomms-reality-bends-dark-neon-edition/black/
https://twocomms.shop/product/-twocomms-reality-bends-dark-neon-edition/black/
https://twocomms.shop/product/-twocomms-reality-bends-dark-neon-edition/black/
https://twocomms.shop/product/-twocomms-reality-bends-dark-neon-edition/black/
https://twocomms.shop/product/-twocomms-reality-bends-dark-neon-edition/black/
https://twocomms.shop/ru/product/-twocomms-reality-bends-dark-neon-edition/black/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",1739196392709367833,4,691
23,https://twocomms.shop/product/-twocomms-reality-bends-future-2026/pink/,"Купити Футболка TWOCOMMS ""Reality Bends"": Колекція Future 2026 — рожевий — TwoComms",text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/en/product/-twocomms-reality-bends-future-2026/pink/
https://twocomms.shop/product/-twocomms-reality-bends-future-2026/pink/
https://twocomms.shop/product/-twocomms-reality-bends-future-2026/pink/
https://twocomms.shop/product/-twocomms-reality-bends-future-2026/pink/
https://twocomms.shop/product/-twocomms-reality-bends-future-2026/pink/
https://twocomms.shop/ru/product/-twocomms-reality-bends-future-2026/pink/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",4167913513318411047,4,713
23,https://twocomms.shop/product/hool-ts/black/,"Купити Футболка ""Печатка Хулігана"" — чорний — TwoComms",text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/en/product/hool-ts/black/
https://twocomms.shop/product/hool-ts/black/
https://twocomms.shop/product/hool-ts/black/
https://twocomms.shop/product/hool-ts/black/
https://twocomms.shop/product/hool-ts/black/
https://twocomms.shop/ru/product/hool-ts/black/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",7415141057622754855,4,702
23,https://twocomms.shop/catalog/tshirts/?page=2,Футболки TwoComms — стрітвеар та мілітарі-принти від українського бренду,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/catalog/tshirts/?page=2
https://twocomms.shop/catalog/tshirts/?page=2
https://twocomms.shop/en/catalog/tshirts/?page=2
https://twocomms.shop/ru/catalog/tshirts/?page=2","200
200
200
200",Some pages don't include hreflang links to all the other pages of the group,8834421924746870126,0,642
23,https://twocomms.shop/product/-225-tshirt-/black/,Купити Футболка 225ОШП — чорний — TwoComms,text/html; charset=utf-8,false,200,0,true,"https://twocomms.shop/en/product/-225-tshirt-/black/
https://twocomms.shop/product/-225-tshirt-/black/
https://twocomms.shop/product/-225-tshirt-/black/
https://twocomms.shop/product/-225-tshirt-/black/
https://twocomms.shop/product/-225-tshirt-/black/
https://twocomms.shop/ru/product/-225-tshirt-/black/","200
200
200
200
200
200","One page is linked for more than one language
More than one page is linked for the same language
Some pages don't include hreflang links to all the other pages of the group",9020056428150885086,4,719
